,comment,level,label,cleaned
153,"*** , добрый день ! Посылка пришла , но с наложенным платежом . Я деньги Вам переводила ",simpleTree,более 1 категории,*** о добрый день о Посылка пришла о но с наложенным платежом . Я деньги Вам переводила
154,Спасибо ! ,simpleTree,общеразговорные,Спасибо о
155,Перевела ,simpleTree,вопросы о сервисе,Перевела
156,Да ,simpleTree,общеразговорные,Да
157,Номер карты тот же ? ,simpleTree,вопросы о сервисе,Номер карты тот же о
158,Давайте тогда ее . Сколько будет стоить ? ,simpleTree,вопросы о товаре,Давайте тогда ее . Сколько будет стоить о
159,** размер ? ,simpleTree,вопросы о товаре,** размер о
160,А первую темно синюю можно ? ,simpleTree,вопросы о товаре,А первую темно синюю можно о
161,Какой можно ? ,simpleTree,вопросы о товаре,Какой можно о
162,А **** ? ,simpleTree,другие,А **** о
163,И я не нашла размерную сетку в группе . Грудь *** см талия ** см бедра *** . Это какой размер будет ? ** ? ,simpleTree,вопросы о товаре,И я не нашла размерную сетку в группе . Грудь *** см талия ** см бедра *** . Это какой размер будет о ** о
164,"*** , добрый день ? Подскажите пожалуйста , такие халатики есть в наличии ? Каких цветов ? ",simpleTree,вопросы о товаре,*** о добрый день о Подскажите пожалуйста о такие халатики есть в наличии о Каких цветов о
165,Я забыла ) ) ,simpleTree,общеразговорные,Я забыла о о
166,Фото предыдущего заказа ) ) ) ,simpleTree,другие,Фото предыдущего заказа о о о
167,"*** , добрый вечер ! Костюмы получила ) ) большое спасибо ! Завтра повезу на примерку ",simpleTree,более 1 категории,*** о добрый вечер о Костюмы получила о о большое спасибо о Завтра повезу на примерку
168,Вам спасибо ) ) ) ,simpleTree,общеразговорные,Вам спасибо о о о
169,"Спасибо , завтра получу ",simpleTree,более 1 категории,Спасибо о завтра получу
170,Сейчас оплачу ,simpleTree,вопросы о сервисе,Сейчас оплачу
171,Мне с широкой ** подойдёт . ,simpleTree,вопросы о товаре,Мне с широкой ** подойдет .
172,"А когда появится с широкой юбкой темно - синее , его закажем ",simpleTree,вопросы о товаре,А когда появится с широкой юбкой темно о синее о его закажем
173,Голубое заказываем ,simpleTree,вопросы о товаре,Голубое заказываем
174,Это про какое речь ? ,simpleTree,вопросы о товаре,Это про какое речь о
175,"И вот такой халатик , только другого цвета . Темно - синего . Есть ? ",simpleTree,вопросы о товаре,И вот такой халатик о только другого цвета . Темно о синего . Есть о
176,На карту сбербанка ,simpleTree,вопросы о сервисе,На карту сбербанка
177,********** **** ******** ,simpleTree,другие,********** **** ********
178,********** * ,simpleTree,другие,********** о
179,"****** , ********* , ул . Урицкого , д . ** , кв . *** ",simpleTree,вопросы о сервисе,****** о ********* о ул . Верицкого о да . ** о кв . ***
180,Добрый день ! Можно заказать голубое платье размер ** ,simpleTree,более 1 категории,Добрый день о Можно заказать голубое платье размер **
181,Добрый день ! Размер ** ,simpleTree,более 1 категории,Добрый день о Размер **
182,"Добрый день , размер ** интересует ",simpleTree,более 1 категории,Добрый день о размер ** интересует
183,Только что перевела **** ,simpleTree,вопросы о сервисе,Только что перевела ****
184,Те же реквизиты ? ,simpleTree,вопросы о сервисе,Те же реквизиты о
185,"Да , данные те же . Деньги на карту ***** *********** м . ? ",simpleTree,вопросы о сервисе,Да о данные те же . Деньги на карту ***** *********** мы . о
186,"Здравствуйте , **** . Хочу заказать блузу голубую м272 ** размера и брюки белые ****** м530 ** размера . Все есть в наличии ? ",simpleTree,более 1 категории,Здравствуйте о **** . Хочу заказать блузу голубую м272 ** размера и брюки белые ****** магм ** размера . Все есть в наличии о
187,Посылка с красным платьем пришла . Спасибо . Подошло идеально ) ) ) ,simpleTree,вопросы о товаре,Посылка с красным платьем пришла . Спасибо . Подошло идеально о о о
188,"Здравствуйте , **** . Сегодня отправила вам обратно белое платье . Взамен надеюсь увидеть красное ) С уважением ",simpleTree,более 1 категории,Здравствуйте о **** . Сегодня отправила вам обратно белое платье . Взамен надеюсь увидеть красное о С уважением
189,Возможно прислать обратно и получить всё же красное ** размера ? ,simpleTree,вопросы о сервисе,Возможно прислать обратно и получить всё же красное ** размера о
190,"Здравствуйте , **** . Мой заказ **** пришёл . Но там белое платье ",simpleTree,более 1 категории,Здравствуйте о **** . Мой заказ **** пришел . Но там белое платье
191,Примерно сколько ждать ? ,simpleTree,вопросы о сервисе,Примерно сколько ждать о
192,Только что перевела ,simpleTree,вопросы о сервисе,Только что перевела
193,"Деньги перед отправкой хочу переслать ? Не наложенным платежом . Напишете , когда пересылать . И **** . ",simpleTree,вопросы о сервисе,Деньги перед отправкой хочу переслать о Не наложенным платежом . Напишете о когда пересылать . И **** .
194,"Хочу заказать . ****** , самарская область , сергиевский район , поселок городского типа Суходол , ул . Победы ** , кв . ** . ******** **** ********** . Тел . ********** * . Платье м165 ******** ",simpleTree,более 1 категории,Хочу заказать . ****** о самарская область о георгиевский район о поселок городского типа Суходол о ул . Победы ** о кв . ** . ******** **** ********** . Тел . ********** о . Платье магм ********
195,"Здравствуйте , *** . Скажите , есть ли в наличии платье м165 красное ** размера ? ",simpleTree,более 1 категории,Здравствуйте о *** . Скажите о есть ли в наличии платье магм красное ** размера о
196,Хорошо . Померю себя . Спасибо ,simpleTree,более 1 категории,Хорошо . Померю себя . Спасибо
197,Обычно ** . Иногда ** ,simpleTree,вопросы о товаре,Обычно ** . Иногда **
198,Блуза так же **** и брюки **** ? Все правильно ? ,simpleTree,вопросы о товаре,Блуза так же **** и брюки **** о Все правильно о
199,"Можете подсказать как точнее подобрать у вас размер , чтоб не ошибиться ? ",simpleTree,вопросы о товаре,Можете подсказать как точнее подобрать у вас размер о чтоб не ошибиться о
200,"Добрый вечер . Скажите , пожалуйста , есть ли в наличии блуза голубая или темно-сиреневая ** размера м *** . И брюки хлопок ****** м *** тоже ** размера ? Живу в самарской области , в селе-сколько будет стоить доставка ? Оплата по получении ? Возможен ли возврат ? ",simpleTree,более 1 категории,Добрый вечер . Скажите о пожалуйста о есть ли в наличии блуза голубая или темно-сиреневая ** размера мы *** . И брюки хлопок ****** мы *** тоже ** размера о Живу в самарской области о в селе-сколько будет стоить доставка о Оплата по получении о Возможен ли возврат о
201,Да . отправляйте . *********** ******* ********** ,simpleTree,вопросы о сервисе,Да . отправляйте . *********** ******* **********
202,Хорошо . Я согласна ,simpleTree,общеразговорные,Хорошо . Я согласна
203,"г . ****** , улица Саянская , дом * , к . * , кв . *** . Индекс ****** . Телефон : + ********** * Мне легче сделать перевод на карту Сбербанк . ",simpleTree,вопросы о сервисе,го . ****** о улица Саянская о дом о о к . о о кв . *** . Индекс ****** . Телефон о о ********** о Мне легче сделать перевод на карту Сбербанк .
204,А ткань Сатори стоит *** рублей ? ,simpleTree,вопросы о товаре,А ткань Натори стоит *** рублей о
205,Здравствуйте ! Меня заинтересовал этот товар . размер ** ,simpleTree,более 1 категории,Здравствуйте о Меня заинтересовал этот товар . размер **
206,Хорошо ,simpleTree,общеразговорные,Хорошо
207,Адрес отслеживания посылки по почте будет ? ,simpleTree,вопросы о сервисе,Адрес отслеживания посылки по почте будет о
208,Перевела ,simpleTree,вопросы о сервисе,Перевела
209,Менеджер ? ,simpleTree,другие,Менеджер о
210,Реквизиты отправьте или телефон ,simpleTree,вопросы о сервисе,Реквизиты отправьте или телефон
211,Оплачу по карте ,simpleTree,вопросы о сервисе,Оплачу по карте
212,"Тогда пока костюм отправьте , халат позже закажу ",simpleTree,вопросы о товаре,Тогда пока костюм отправьте о халат позже закажу
213,"Размер ** , ****** индекс , Республика ************ , г . ******* , ул . Академика ********* ****** . ******** Лиана ******** ********** * ",simpleTree,вопросы о сервисе,Размер ** о ****** индекс о Республика ************ о го . ******* о ул . Академика ********* ****** . ******** Лиана ******** ********** о
214,"Добрый день салатовый зелёный , данные позже напишу , на работе ",simpleTree,более 1 категории,Добрый день салатовый зеленый о данные позже напишу о на работе
215,"Добрый вечер ! Заказы отправляете по всей ****** ? Сама из ******** , хотела заказать у вас Халат М *** - Сатори ? ( ткань по плотнее нужно ) , М ** - К / ********* . Размер ** . Как производится оплата и доставка ? ",simpleTree,более 1 категории,Добрый вечер о Заказы отправляете по всей ****** о Сама из ******** о хотела заказать у вас Халат ЧМ *** о Натори о о ткань по плотнее нужно о о ЧМ ** о К о ********* . Размер ** . Как производится оплата и доставка о
216,Да ,simpleTree,общеразговорные,Да
217,Да ,simpleTree,общеразговорные,Да
218,Нет такие не нравятся ,simpleTree,другие,Нет такие не нравятся
219,Ок ,simpleTree,другие,К
220,Чёрный костюм ,simpleTree,вопросы о товаре,Черный костюм
221,Хорошо тогда в каких ****** ,simpleTree,другие,Хорошо тогда в каких ******
222,Вот такого типа ,simpleTree,другие,Вот такого типа
223,Нельзя так ? просто **** нравится ,simpleTree,другие,Нельзя так о просто **** нравится
224,Но хочу кнопках блузку ,simpleTree,другие,Но хочу кнопках блузку
225,Добрый день можно заказ сделать ? ,simpleTree,вопросы о сервисе,Добрый день можно заказ сделать о
226,Ок ,simpleTree,другие,К
227,Тогда опять голубой ,simpleTree,другие,Тогда опять голубой
228,А какие цвета тонкой ,simpleTree,другие,А какие цвета тонкой
229,Нет тонкую хочу ,simpleTree,другие,Нет тонкую хочу
230,Нет ,simpleTree,другие,Нет
231,Да ,simpleTree,другие,Да
232,** ,simpleTree,другие,**
233,Тогда красный ) ) ,simpleTree,другие,Тогда красный о о
